drugA	drugB	drugcomb	adv/app
DB00091	DB00657	('DB00091', 'DB00657')	1
DB00091	DB01116	('DB00091', 'DB01116')	1
DB00091	DB00325	('DB00091', 'DB00325')	1
DB00091	DB01170	('DB00091', 'DB01170')	1
DB00091	DB00968	('DB00091', 'DB00968')	1
DB00091	DB01275	('DB00091', 'DB01275')	1
DB00091	DB00820	('DB00091', 'DB00820')	1
DB00091	DB01018	('DB00091', 'DB01018')	1
DB00091	DB06762	('DB00091', 'DB06762')	1
DB00091	DB08932	('DB00091', 'DB08932')	1
DB00104	DB00590	('DB00104', 'DB00590')	1
DB00104	DB00968	('DB00104', 'DB00968')	1
DB00104	DB01018	('DB00104', 'DB01018')	1
DB00104	DB00575	('DB00104', 'DB00575')	1
DB00105	DB12945	('DB00105', 'DB12945')	1
DB00105	DB00575	('DB00105', 'DB00575')	1
DB00115	DB00325	('DB00115', 'DB00325')	1
DB00115	DB00657	('DB00115', 'DB00657')	1
DB00115	DB00820	('DB00115', 'DB00820')	1
DB00115	DB00968	('DB00115', 'DB00968')	1
DB00115	DB01018	('DB00115', 'DB01018')	1
DB00115	DB01170	('DB00115', 'DB01170')	1
DB00115	DB01275	('DB00115', 'DB01275')	1
DB00115	DB08932	('DB00115', 'DB08932')	1
DB00122	DB00457	('DB00122', 'DB00457')	1
DB00122	DB00590	('DB00122', 'DB00590')	1
DB00122	DB01018	('DB00122', 'DB01018')	1
DB00126	DB00657	('DB00126', 'DB00657')	1
DB00127	DB00457	('DB00127', 'DB00457')	1
DB00127	DB00590	('DB00127', 'DB00590')	1
DB00127	DB01018	('DB00127', 'DB01018')	1
DB00136	DB00590	('DB00136', 'DB00590')	1
DB00136	DB00575	('DB00136', 'DB00575')	1
DB00150	DB00765	('DB00150', 'DB00765')	1
DB00150	DB01626	('DB00150', 'DB01626')	1
DB00150	DB01018	('DB00150', 'DB01018')	1
DB00150	DB12661	('DB00150', 'DB12661')	1
DB00150	DB00575	('DB00150', 'DB00575')	1
DB00152	DB00457	('DB00152', 'DB00457')	1
DB00152	DB00590	('DB00152', 'DB00590')	1
DB00152	DB01018	('DB00152', 'DB01018')	1
DB00158	DB00325	('DB00158', 'DB00325')	1
DB00158	DB00657	('DB00158', 'DB00657')	1
DB00158	DB00820	('DB00158', 'DB00820')	1
DB00158	DB00968	('DB00158', 'DB00968')	1
DB00158	DB01018	('DB00158', 'DB01018')	1
DB00158	DB01170	('DB00158', 'DB01170')	1
DB00158	DB01275	('DB00158', 'DB01275')	1
DB00158	DB08932	('DB00158', 'DB08932')	1
DB00159	DB01275	('DB00159', 'DB01275')	1
DB00159	DB01180	('DB00159', 'DB01180')	1
DB00159	DB00217	('DB00159', 'DB00217')	1
DB00159	DB00325	('DB00159', 'DB00325')	1
DB00159	DB00350	('DB00159', 'DB00350')	1
DB00159	DB00457	('DB00159', 'DB00457')	1
DB00159	DB00559	('DB00159', 'DB00559')	1
DB00159	DB00575	('DB00159', 'DB00575')	1
DB00159	DB00590	('DB00159', 'DB00590')	1
DB00159	DB00657	('DB00159', 'DB00657')	1
DB00159	DB00765	('DB00159', 'DB00765')	1
DB00159	DB00968	('DB00159', 'DB00968')	1
DB00159	DB01018	('DB00159', 'DB01018')	1
DB00159	DB01089	('DB00159', 'DB01089')	1
DB00159	DB01116	('DB00159', 'DB01116')	1
DB00159	DB01119	('DB00159', 'DB01119')	1
DB00159	DB01170	('DB00159', 'DB01170')	1
DB00159	DB01626	('DB00159', 'DB01626')	1
DB00159	DB04840	('DB00159', 'DB04840')	1
DB00159	DB06403	('DB00159', 'DB06403')	1
DB00159	DB06762	('DB00159', 'DB06762')	1
DB00159	DB08931	('DB00159', 'DB08931')	1
DB00159	DB08932	('DB00159', 'DB08932')	1
DB00159	DB09206	('DB00159', 'DB09206')	1
DB00159	DB09242	('DB00159', 'DB09242')	1
DB00159	DB09363	('DB00159', 'DB09363')	1
DB00159	DB11738	('DB00159', 'DB11738')	1
DB00159	DB12661	('DB00159', 'DB12661')	1
DB00159	DB12945	('DB00159', 'DB12945')	1
DB00159	DB13211	('DB00159', 'DB13211')	1
DB00159	DB13410	('DB00159', 'DB13410')	1
DB00159	DB13429	('DB00159', 'DB13429')	1
DB00159	DB13435	('DB00159', 'DB13435')	1
DB00159	DB13452	('DB00159', 'DB13452')	1
DB00159	DB13575	('DB00159', 'DB13575')	1
DB00159	DB13604	('DB00159', 'DB13604')	1
DB00159	DB13631	('DB00159', 'DB13631')	1
DB00159	DB13779	('DB00159', 'DB13779')	1
DB00159	DB00820	('DB00159', 'DB00820')	1
DB00163	DB00590	('DB00163', 'DB00590')	1
DB00163	DB00575	('DB00163', 'DB00575')	1
DB00165	DB00325	('DB00165', 'DB00325')	1
DB00165	DB00657	('DB00165', 'DB00657')	1
DB00165	DB00820	('DB00165', 'DB00820')	1
DB00165	DB00968	('DB00165', 'DB00968')	1
DB00165	DB01018	('DB00165', 'DB01018')	1
DB00165	DB01170	('DB00165', 'DB01170')	1
DB00165	DB01275	('DB00165', 'DB01275')	1
DB00165	DB08932	('DB00165', 'DB08932')	1
DB00169	DB00590	('DB00169', 'DB00590')	1
DB00169	DB04840	('DB00169', 'DB04840')	1
DB00169	DB00575	('DB00169', 'DB00575')	1
DB00173	DB00350	('DB00173', 'DB00350')	1
DB00175	DB00559	('DB00175', 'DB00559')	1
DB00175	DB08931	('DB00175', 'DB08931')	1
DB00175	DB00457	('DB00175', 'DB00457')	1
DB00175	DB00968	('DB00175', 'DB00968')	1
DB00175	DB06403	('DB00175', 'DB06403')	1
DB00176	DB00559	('DB00176', 'DB00559')	1
DB00176	DB00765	('DB00176', 'DB00765')	1
DB00176	DB01018	('DB00176', 'DB01018')	1
DB00176	DB12661	('DB00176', 'DB12661')	1
DB00176	DB01626	('DB00176', 'DB01626')	1
DB00176	DB00590	('DB00176', 'DB00590')	1
DB00176	DB04840	('DB00176', 'DB04840')	1
DB00176	DB00325	('DB00176', 'DB00325')	1
DB00176	DB00657	('DB00176', 'DB00657')	1
DB00176	DB00968	('DB00176', 'DB00968')	1
DB00176	DB01170	('DB00176', 'DB01170')	1
DB00176	DB01275	('DB00176', 'DB01275')	1
DB00176	DB00575	('DB00176', 'DB00575')	1
DB00176	DB08932	('DB00176', 'DB08932')	1
DB00176	DB00820	('DB00176', 'DB00820')	1
DB00176	DB06403	('DB00176', 'DB06403')	1
DB00176	DB06762	('DB00176', 'DB06762')	1
DB00176	DB08931	('DB00176', 'DB08931')	1
DB00176	DB12945	('DB00176', 'DB12945')	1
DB00177	DB01119	('DB00177', 'DB01119')	1
DB00177	DB00217	('DB00177', 'DB00217')	1
DB00177	DB01018	('DB00177', 'DB01018')	1
DB00177	DB09242	('DB00177', 'DB09242')	1
DB00177	DB11738	('DB00177', 'DB11738')	1
